Title,Score,Release Year,Company
Ace Attorney Investigations Collection,85%,2024,"Capcom Co., Ltd."
Ace Attorney Investigations Collection,85%,2024,"Capcom Co., Ltd."
Ace Combat 7: Skies Unknown - Deluxe Edition,85%,2024,
Ace Combat 7: Skies Unknown - Deluxe Edition,85%,2024,
AI: The Somnium Files - nirvanA Initiative,85%,2022,"Spike Chunsoft Co., Ltd."
AI: The Somnium Files - nirvanA Initiative,85%,2022,"Spike Chunsoft Co., Ltd."
Atelier Dusk Trilogy Deluxe Pack,85%,2019,
Atelier Dusk Trilogy Deluxe Pack,85%,2019,
Atelier Ryza 3: Alchemist of the End & the Secret ...,85%,2023,Gust
Atelier Ryza 3: Alchemist of the End & the Secret ...,85%,2023,Gust
Beacon Pines,85%,2022,Hiding Spot LLC
Beacon Pines,85%,2022,Hiding Spot LLC
Bug Fables: The Everlasting Sapling,85%,2020,Moonsprout Games
Bug Fables: The Everlasting Sapling,85%,2020,Moonsprout Games
Cadence of Hyrule: Crypt of the NecroDancer featur...,85%,2019,Brace Yourself Games
Cadence of Hyrule: Crypt of the NecroDancer featur...,85%,2019,Brace Yourself Games
Clap Hanz Golf,85%,2022,Clap Hanz Ltd.
Clap Hanz Golf,85%,2022,Clap Hanz Ltd.
CrossCode,85%,2020,Radical Fish Games
CrossCode,85%,2020,Radical Fish Games
Cthulhu Saves Christmas,85%,2020,"Zeboyd Digital Entertainment, LLC"
Cthulhu Saves Christmas,85%,2020,"Zeboyd Digital Entertainment, LLC"
Cupid Parasite,85%,2020,Studio Saizensen Ltd.
Cupid Parasite,85%,2020,Studio Saizensen Ltd.
Doki Doki Literature Club Plus!,85%,2021,Team Salvato
Doki Doki Literature Club Plus!,85%,2021,Team Salvato
Donkey Kong Country: Tropical Freeze,85%,2018,"Monster Games, Inc."
Donkey Kong Country: Tropical Freeze,85%,2018,"Monster Games, Inc."
Dredge,85%,2023,Black Salt Games Limited
Dredge,85%,2023,Black Salt Games Limited
Fortnite,85%,2018,"Epic Games, Inc."
Fortnite,85%,2018,"Epic Games, Inc."
Freedom Planet 2,85%,2024,GalaxyTrail Games
Freedom Planet 2,85%,2024,GalaxyTrail Games
Ghost Trick: Phantom Detective,85%,2023,"Capcom Co., Ltd."
Ghost Trick: Phantom Detective,85%,2023,"Capcom Co., Ltd."
Guilty Gear: Strive - Nintendo Switch Edition,85%,2025,"Arc System Works Co., Ltd."
Guilty Gear: Strive - Nintendo Switch Edition,85%,2025,"Arc System Works Co., Ltd."
Gunman Clive: HD Collection,85%,2019,Hörberg Productions
Gunman Clive: HD Collection,85%,2019,Hörberg Productions
Heretic + Hexen,85%,2025,"Nightdive Studios, LLC"
Heretic + Hexen,85%,2025,"Nightdive Studios, LLC"
Hyper Light Drifter: Special Edition,85%,2021,
Hyper Light Drifter: Special Edition,85%,2021,
Iron Meat,85%,2024,RetroWare
Iron Meat,85%,2024,RetroWare
Kathy Rain: The Director's Cut,85%,2021,Clifftop Games AB
Kathy Rain: The Director's Cut,85%,2021,Clifftop Games AB
Lil' Guardsman,85%,2024,Hilltop Studios
Lil' Guardsman,85%,2024,Hilltop Studios
Littlewood,85%,2021,SmashGames LLC
Littlewood,85%,2021,SmashGames LLC
Loddlenaut,85%,2024,"Moon Lagoon, LLC"
Loddlenaut,85%,2024,"Moon Lagoon, LLC"
Lost in Play,85%,2022,Happy Juice Interactive LLC
Lost in Play,85%,2022,Happy Juice Interactive LLC
Lumines: Remastered,85%,2018,Resonair Inc.
Lumines: Remastered,85%,2018,Resonair Inc.
Mario + Rabbids: Kingdom Battle,85%,2017,Ubisoft Paris Studios SARL
Mario + Rabbids: Kingdom Battle,85%,2017,Ubisoft Paris Studios SARL
Mutant Mudds Collection,85%,2017,Atooi LLC
Mutant Mudds Collection,85%,2017,Atooi LLC
Octopath Traveler,85%,2018,Acquire Corp.
Octopath Traveler,85%,2018,Acquire Corp.
Overcooked! Special Edition,85%,2017,Ghost Town Games Ltd
Overcooked! Special Edition,85%,2017,Ghost Town Games Ltd
Persona 5: Strikers,85%,2021,Omega Force
Persona 5: Strikers,85%,2021,Omega Force
Pikmin 1+2,85%,2023,
Pikmin 1+2,85%,2023,
Pikmin 3 Deluxe,85%,2020,Nintendo EAD
Pikmin 3 Deluxe,85%,2020,Nintendo EAD
Prodeus,85%,2022,Bounding Box Software Inc.
Prodeus,85%,2022,Bounding Box Software Inc.
Raiden IV x MIKADO remix,85%,2021,"Moss Co., Ltd."
Raiden IV x MIKADO remix,85%,2021,"Moss Co., Ltd."
Severed,85%,2017,DrinkBox Studios Inc.
Severed,85%,2017,DrinkBox Studios Inc.
Shinobi: Art of Vengeance,85%,2025,Lizardcube
Shinobi: Art of Vengeance,85%,2025,Lizardcube
Shiren the Wanderer: The Mystery Dungeon of Serpen...,85%,2024,"Spike Chunsoft Co., Ltd."
Shiren the Wanderer: The Mystery Dungeon of Serpen...,85%,2024,"Spike Chunsoft Co., Ltd."
Shovel Knight: Specter of Torment,85%,2017,"Yacht Club Games, LLC"
Shovel Knight: Specter of Torment,85%,2017,"Yacht Club Games, LLC"
Star Ocean: The Second Story R,85%,2023,"Gemdrops, Inc."
Star Ocean: The Second Story R,85%,2023,"Gemdrops, Inc."
Streets of Rogue,85%,2019,
Streets of Rogue,85%,2019,
The Eternal Castle,85%,2020,
The Eternal Castle,85%,2020,
The Legend of Zelda: Skyward Sword,85%,2021,Nintendo EAD
